a,r,t,m,calender
5,-44,2022-07-05 23:53:25,"164,201,57,205,13,69",7.5
5,-43,2022-07-05 23:54:17,"164,201,57,205,13,69",7.5
5,-46,2022-07-05 23:54:30,"164,201,57,205,13,69",7.5
5,-47,2022-07-05 23:54:43,"164,201,57,205,13,69",7.5
5,-45,2022-07-05 23:54:56,"164,201,57,205,13,69",7.5
5,-46,2022-07-05 23:55:23,"164,201,57,205,13,69",7.5
5,-45,2022-07-05 23:55:36,"164,201,57,205,13,69",7.5
5,-47,2022-07-05 23:56:15,"164,201,57,205,13,69",7.5
5,-45,2022-07-05 23:57:46,"164,201,57,205,13,69",7.5
5,-45,2022-07-05 23:59:04,"164,201,57,205,13,69",7.5
5,-46,2022-07-05 23:59:30,"164,201,57,205,13,69",7.5
5,-45,2022-07-06 00:00:09,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:00:22,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:00:35,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:00:48,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:03:50,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:04:29,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:04:55,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:05:08,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:05:21,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:06:13,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:06:26,"164,201,57,205,13,69",7.6
95,-60,2022-07-06 00:12:23,"48,74,6,133,29,213",7.6
5,-48,2022-07-06 00:09:02,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:09:28,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:09:41,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:10:33,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:10:46,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:10:59,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:11:12,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:14:53,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:15:06,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:15:32,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:15:45,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:16:11,"164,201,57,205,13,69",7.6
5,-51,2022-07-06 00:17:56,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:19:40,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:19:53,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 00:20:19,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:20:32,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:20:58,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:23:21,"164,201,57,205,13,69",7.6
99,-33,2022-07-06 00:17:53,"164,201,57,205,13,69",7.6
99,-34,2022-07-06 00:20:16,"164,201,57,205,13,69",7.6
99,-34,2022-07-06 00:23:57,"164,201,57,205,13,69",7.6
95,-48,2022-07-06 00:24:32,"72,125,46,236,65,206",7.6
95,-50,2022-07-06 00:29:19,"72,125,46,236,65,206",7.6
5,-48,2022-07-06 00:24:00,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:24:26,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:25:31,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:26:10,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:26:23,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:26:49,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:27:15,"164,201,57,205,13,69",7.6
5,-43,2022-07-06 00:27:54,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:28:07,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:28:20,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:28:33,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:30:44,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:32:54,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:33:46,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:34:25,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:34:51,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:35:04,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:35:30,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:36:35,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 00:37:14,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:37:27,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:37:53,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:38:06,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:38:32,"164,201,57,205,13,69",7.6
49,-37,2022-07-06 00:31:56,"72,125,46,236,65,206",7.6
95,-43,2022-07-06 00:42:32,"140,115,82,76,172,89",7.6
5,-47,2022-07-06 00:39:08,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:41:22,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:43:06,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:43:19,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:46:34,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:47:52,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:48:05,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 00:48:18,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:48:31,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:51:47,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 00:53:57,"164,201,57,205,13,69",7.6
99,-50,2022-07-06 00:42:50,"168,208,151,254,40,222",7.6
99,-7,2022-07-06 00:42:50,"172,118,229,160,225,193",7.6
99,-1,2022-07-05 23:46:04,"168,208,151,254,40,222",7.5
99,5,2022-07-05 23:46:04,"172,118,229,160,225,193",7.5
99,-74,2022-07-05 23:46:04,"160,32,50,51,210,96",7.5
88,-32,2022-07-06 00:40:50,"48,74,102,133,29,213",7.6
5,-45,2022-07-06 00:54:49,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 00:55:02,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 00:56:33,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:01:19,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:02:25,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:04:35,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:07:37,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:07:50,"164,201,57,205,13,69",7.6
99,-32,2022-07-06 01:07:47,"164,201,57,205,13,69",7.6
95,-41,2022-07-06 01:14:14,"24,2,174,207,62,19",7.6
5,-46,2022-07-06 01:10:52,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:11:44,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:12:23,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:12:49,"164,201,57,205,13,69",7.6
5,-42,2022-07-06 01:13:16,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:13:29,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:13:42,"164,201,57,205,13,69",7.6
5,-43,2022-07-06 01:14:08,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:14:34,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:14:47,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:15:39,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 01:17:23,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:17:36,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:18:02,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:18:15,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:19:20,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:20:25,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:22:22,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:22:35,"164,201,57,205,13,69",7.6
5,-42,2022-07-06 01:23:01,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:24:06,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 01:24:33,"164,201,57,205,13,69",7.6
99,-34,2022-07-06 01:12:21,"164,201,57,205,13,69",7.6
99,-31,2022-07-06 01:14:44,"164,201,57,205,13,69",7.6
99,-34,2022-07-06 01:15:36,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:25:20,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:26:16,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 01:26:55,"164,201,57,205,13,69",7.6
5,-51,2022-07-06 01:29:18,"164,201,57,205,13,69",7.6
5,-50,2022-07-06 01:29:31,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:29:44,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:29:57,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:30:10,"164,201,57,205,13,69",7.6
5,-50,2022-07-06 01:30:23,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:30:36,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:30:49,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:31:02,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:31:15,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:32:20,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:32:33,"164,201,57,205,13,69",7.6
5,-51,2022-07-06 01:32:59,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:33:12,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:33:25,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:33:38,"164,201,57,205,13,69",7.6
5,-50,2022-07-06 01:33:51,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:34:04,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:34:30,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:34:43,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:34:56,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:35:09,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:35:49,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:36:02,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:36:15,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:36:28,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:36:41,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:36:54,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:37:07,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:37:20,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:37:33,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:39:04,"164,201,57,205,13,69",7.6
99,-32,2022-07-06 01:29:15,"164,201,57,205,13,69",7.6
99,-30,2022-07-06 01:30:59,"164,201,57,205,13,69",7.6
99,-31,2022-07-06 01:32:31,"164,201,57,205,13,69",7.6
99,-34,2022-07-06 01:36:12,"164,201,57,205,13,69",7.6
99,-32,2022-07-06 01:36:51,"164,201,57,205,13,69",7.6
99,-32,2022-07-06 01:40:45,"164,201,57,205,13,69",7.6
120,-36,2022-07-06 01:25:05,"156,95,91,12,124,73",7.6
120,-32,2022-07-06 01:35:03,"4,207,140,75,128,186",7.6
32,-33,2022-07-06 01:43:28,"156,95,90,12,92,73",7.6
5,-48,2022-07-06 01:40:48,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:41:27,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:43:11,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 01:44:03,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:44:16,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:44:55,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:45:21,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 01:45:47,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:47:46,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:47:59,"164,201,57,205,13,69",7.6
5,-50,2022-07-06 01:48:25,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:48:51,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:49:04,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:49:17,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:50:35,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:50:48,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:51:01,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:51:27,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:51:40,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:53:37,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:53:50,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:54:03,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:54:16,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:54:29,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:54:42,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:54:55,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:55:08,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:55:21,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:55:34,"164,201,57,205,13,69",7.6
99,-34,2022-07-06 01:50:45,"164,201,57,205,13,69",7.6
99,-31,2022-07-06 01:50:58,"164,201,57,205,13,69",7.6
99,-35,2022-07-06 01:51:24,"164,201,57,205,13,69",7.6
99,-30,2022-07-06 01:53:34,"164,201,57,205,13,69",7.6
99,-31,2022-07-06 01:53:47,"164,201,57,205,13,69",7.6
99,-33,2022-07-06 01:54:00,"164,201,57,205,13,69",7.6
99,-30,2022-07-06 01:55:58,"164,201,57,205,13,69",7.6
99,-33,2022-07-06 01:57:03,"164,201,57,205,13,69",7.6
99,-33,2022-07-06 01:57:42,"164,201,57,205,13,69",7.6
88,-33,2022-07-06 01:49:51,"48,74,38,5,29,213",7.6
120,-32,2022-07-06 01:52:10,"4,207,141,11,128,186",7.6
95,-40,2022-07-06 01:55:40,"204,8,251,70,125,190",7.6
5,-48,2022-07-06 01:56:10,"164,201,57,205,13,69",7.6
5,-50,2022-07-06 01:56:13,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:56:26,"164,201,57,205,13,69",7.6
5,-44,2022-07-06 01:56:39,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:56:52,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:57:05,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:57:18,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 01:57:32,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:57:58,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 01:58:11,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:58:24,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:58:37,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 01:58:50,"164,201,57,205,13,69",7.6
5,-51,2022-07-06 01:59:03,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 01:59:29,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 01:59:55,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:00:21,"164,201,57,205,13,69",7.6
5,-51,2022-07-06 02:00:34,"164,201,57,205,13,69",7.6
5,-42,2022-07-06 02:01:00,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 02:02:31,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:02:44,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:03:10,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:03:23,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:03:36,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:03:49,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:04:02,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:04:15,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 02:04:28,"164,201,57,205,13,69",7.6
5,-45,2022-07-06 02:04:41,"164,201,57,205,13,69",7.6
5,-51,2022-07-06 02:05:20,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:05:33,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:05:46,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 02:05:59,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 02:06:12,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:06:25,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:06:38,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:06:51,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:07:04,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:07:17,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 02:07:30,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:07:43,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 02:08:09,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 02:08:22,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:08:36,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 02:08:49,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 02:09:02,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:09:28,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:09:41,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 02:10:07,"164,201,57,205,13,69",7.6
5,-47,2022-07-06 02:10:20,"164,201,57,205,13,69",7.6
5,-48,2022-07-06 02:10:33,"164,201,57,205,13,69",7.6
5,-49,2022-07-06 02:10:46,"164,201,57,205,13,69",7.6
5,-46,2022-07-06 02:11:12,"164,201,57,205,13,69",7.6
99,-31,2022-07-06 01:58:59,"164,201,57,205,13,69",7.6
99,-30,2022-07-06 01:59:25,"164,201,57,205,13,69",7.6
99,-32,2022-07-06 01:59:51,"164,201,57,205,13,69",7.6
